硅指标目录 Sheet Name 修复报告 硅产业链数据_workflow_ai.xlsx
备份: 硅产业链数据_workflow_ai_backup_fix_silicon_catalog_sheets.xlsx
指标行填表: 2354 | 多候选需人工: 2 | 未找到: 0 | 引用行跳过: 0
自检(全部指标行 sheet+col 与数据名称行一致): FAIL x2
错位/变更行数(对比修复前分组): 1182

=== 错位行清单 (row | 原分组 -> 真实sheet | 指标) ===
r1431 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 97硅产量: 月度
r1433 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 其他硅产量: 月度
r1435 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 再生硅产量: 月度
r1438 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 工业硅产量: 月度
r1440 | <组:工业硅平衡预测-月> -> 工业硅平衡-月 | SMM: 工业硅平衡新（按照下游消费算）: 终端消费量: 月度
r1441 | <组:工业硅平衡预测-月> -> 有机硅平衡-月 | SMM: 中国有机硅聚硅氧烷平衡: 出口量: 月度
r1442 | <组:工业硅平衡预测-月> -> 有机硅平衡-月 | SMM: 中国有机硅聚硅氧烷平衡: 进口量: 月度
r1443 | <组:工业硅平衡预测-月> -> 有机硅平衡-月 | SMM: 中国有机硅聚硅氧烷平衡: 其他聚硅氧烷产量: 月度
r1450 | <组:光伏玻璃平衡-月> -> 光伏硅胶价格-日 | SMM: 单组份光伏组件密封胶 - 平均价: 日度
r1451 | <组:光伏玻璃平衡-月> -> 光伏硅胶价格-日 | SMM: 双组份光伏组件密封胶 - 平均价: 日度
r1452 | <组:光伏玻璃平衡-月> -> 工业硅原料价格-周 | SMM: 木炭 - 平均价: 周度
r1453 | <组:光伏玻璃平衡-月> -> 工业硅原料价格-周 | SMM: 木片-平均价: 周度
r1454 | <组:光伏玻璃平衡-月> -> 逆变器进出口-月 | 中国海关: 逆变器出口额: 月度
r1455 | <组:光伏玻璃平衡-月> -> 逆变器进出口-月 | 中国海关: 逆变器进口额: 月度
r1456 | <组:光伏玻璃平衡-月> -> 逆变器净出口-季 | 中国海关: 逆变器出口额: 季度
r1457 | <组:光伏玻璃平衡-月> -> 逆变器净出口-季 | 中国海关: 逆变器进口额: 季度
r1458 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 二月合约: 收盘价: 日度
r1459 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 三月合约: 收盘价: 日度
r1460 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 四月合约: 收盘价: 日度
r1461 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 六月合约: 收盘价: 日度
r1462 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 七月合约: 收盘价: 日度
r1463 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 八月合约: 收盘价: 日度
r1464 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 十月合约: 收盘价: 日度
r1465 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 十一月合约: 收盘价: 日度
r1466 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | GFEX: 多晶硅: 十二月合约: 收盘价: 日度
r1467 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 二月合约: 收盘价: 日度
r1468 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 三月合约: 收盘价: 日度
r1469 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 四月合约: 收盘价: 日度
r1470 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 六月合约: 收盘价: 日度
r1471 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 七月合约: 收盘价: 日度
r1472 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 八月合约: 收盘价: 日度
r1473 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 十月合约: 收盘价: 日度
r1474 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 十一月合约: 收盘价: 日度
r1475 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | GFEX: 工业硅: 十二月合约: 收盘价: 日度
r1476 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连一合约: 收盘价: 日度
r1477 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连七合约: 收盘价: 日度
r1478 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连三合约: 收盘价: 日度
r1479 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连九合约: 收盘价: 日度
r1480 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连二合约: 收盘价: 日度
r1481 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连五合约: 收盘价: 日度
r1482 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连八合约: 收盘价: 日度
r1483 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连六合约: 收盘价: 日度
r1484 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连十一合约: 收盘价: 日度
r1485 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连十合约: 收盘价: 日度
r1486 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | SMM: 多晶硅期现价差: 连四合约: 收盘价: 日度
r1487 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连一合约: 收盘价: 日度
r1488 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连七合约: 收盘价: 日度
r1489 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连三合约: 收盘价: 日度
r1490 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连九合约: 收盘价: 日度
r1491 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连二合约: 收盘价: 日度
r1492 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连五合约: 收盘价: 日度
r1493 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连八合约: 收盘价: 日度
r1494 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连六合约: 收盘价: 日度
r1495 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连十一合约: 收盘价: 日度
r1496 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连十合约: 收盘价: 日度
r1497 | <组:光伏玻璃平衡-月> -> 工业硅期货价格+基差+月差-日 | SMM: 金属硅期现价差: 连四合约: 收盘价: 日度
r1498 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅01-02合约月差
r1499 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅01-03合约月差
r1500 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅02-03合约月差
r1501 | <组:光伏玻璃平衡-月> -> 多晶硅期货价格+基差+月差-日 | 多晶硅03-04合约月差
